Model,DPO4034
Firmware Version,2.1

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.04
Sample Interval,4e-06
Record Length,100000
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH2
-1.97740e-01,0.05
-1.97736e-01,0.07
-1.97732e-01,0.07
-1.97728e-01,0.09
-1.97724e-01,0.09
-1.97720e-01,0.03
-1.97716e-01,0.07
-1.97712e-01,0.09
-1.97708e-01,0.07
-1.97704e-01,0.03
-1.97700e-01,0.09
-1.97696e-01,0.07
-1.97692e-01,0.09
-1.97688e-01,0.03
-1.97684e-01,0.03
-1.97680e-01,0.07
-1.97676e-01,0.03
-1.97672e-01,0.03
-1.97668e-01,0.05
-1.97664e-01,0.07
-1.97660e-01,0.07
-1.97656e-01,0.01
-1.97652e-01,0.03
-1.97648e-01,0.09
-1.97644e-01,0.01
-1.97640e-01,0.07
-1.97636e-01,0.01
-1.97632e-01,0.05
-1.97628e-01,0.07
-1.97624e-01,0.07
-1.97620e-01,0.07
-1.97616e-01,0.05
-1.97612e-01,0.03
-1.97608e-01,0.07
-1.97604e-01,0.03
-1.97600e-01,0.05
-1.97596e-01,0.09
-1.97592e-01,0.05
-1.97588e-01,0.05
-1.97584e-01,0.05
-1.97580e-01,0.05
-1.97576e-01,0.07
-1.97572e-01,0.07
-1.97568e-01,0.05
-1.97564e-01,0.03
-1.97560e-01,0.03
-1.97556e-01,0.09
-1.97552e-01,0.07
-1.97548e-01,0.11
-1.97544e-01,0.09
-1.97540e-01,0.05
-1.97536e-01,0.09
-1.97532e-01,0.07
-1.97528e-01,0.05
-1.97524e-01,0.07
-1.97520e-01,0.03
-1.97516e-01,0.05
-1.97512e-01,0.09
-1.97508e-01,0.01
-1.97504e-01,0.05
-1.97500e-01,0.05
-1.97496e-01,0.03
-1.97492e-01,0.03
-1.97488e-01,0.11
-1.97484e-01,0.07
-1.97480e-01,0.05
-1.97476e-01,0.05
-1.97472e-01,0.01
-1.97468e-01,0.07
-1.97464e-01,0.05
-1.97460e-01,0.03
-1.97456e-01,0.05
-1.97452e-01,0.05
-1.97448e-01,0.03
-1.97444e-01,0.05
-1.97440e-01,0.07
-1.97436e-01,0.09
-1.97432e-01,0.09
-1.97428e-01,0.07
-1.97424e-01,0.07
-1.97420e-01,0.07
-1.97416e-01,0.01
-1.97412e-01,0.07
-1.97408e-01,0.07
-1.97404e-01,0.07
-1.97400e-01,0.09
-1.97396e-01,0.03
-1.97392e-01,0.07
-1.97388e-01,0.05
-1.97384e-01,0.11
-1.97380e-01,0.05
-1.97376e-01,0.03
-1.97372e-01,0.07
-1.97368e-01,0.07
-1.97364e-01,0.07
-1.97360e-01,0.09
-1.97356e-01,0.03
-1.97352e-01,0.05
-1.97348e-01,0.07
-1.97344e-01,0.07
-1.97340e-01,0.07
-1.97336e-01,0.07
-1.97332e-01,0.07
-1.97328e-01,0.05
-1.97324e-01,0.07
-1.97320e-01,0.05
-1.97316e-01,0.07
-1.97312e-01,0.07
-1.97308e-01,0.05
-1.97304e-01,0.07
-1.97300e-01,0.09
-1.97296e-01,0.05
-1.97292e-01,0.07
-1.97288e-01,0.05
-1.97284e-01,0.09
-1.97280e-01,0.05
-1.97276e-01,0.05
-1.97272e-01,0.07
-1.97268e-01,0.09
-1.97264e-01,0.07
-1.97260e-01,0.07
-1.97256e-01,0.05
-1.97252e-01,0.07
-1.97248e-01,0.05
-1.97244e-01,0.05
-1.97240e-01,0.07
-1.97236e-01,0.03
-1.97232e-01,0.03
-1.97228e-01,0.05
-1.97224e-01,0.07
-1.97220e-01,0.09
-1.97216e-01,0.07
-1.97212e-01,0.09
-1.97208e-01,0.07
-1.97204e-01,0.03
-1.97200e-01,0.05
-1.97196e-01,0.03
-1.97192e-01,0.05
-1.97188e-01,0.05
-1.97184e-01,0.03
-1.97180e-01,0.03
-1.97176e-01,-0.01
-1.97172e-01,0.07
-1.97168e-01,0.07
-1.97164e-01,0.09
-1.97160e-01,0.05
-1.97156e-01,0.05
-1.97152e-01,0.07
-1.97148e-01,0.09
-1.97144e-01,0.07
-1.97140e-01,0.05
-1.97136e-01,0.05
-1.97132e-01,0.05
-1.97128e-01,0.03
-1.97124e-01,0.03
-1.97120e-01,0.07
-1.97116e-01,0.09
-1.97112e-01,0.05
-1.97108e-01,0.03
-1.97104e-01,0.05
-1.97100e-01,0.05
-1.97096e-01,0.03
-1.97092e-01,0.03
-1.97088e-01,0.07
-1.97084e-01,0.05
-1.97080e-01,0.05
-1.97076e-01,0.05
-1.97072e-01,0.05
-1.97068e-01,0.03
-1.97064e-01,0.05
-1.97060e-01,0.01
-1.97056e-01,0.07
-1.97052e-01,0.07
-1.97048e-01,0.05
-1.97044e-01,0.05
-1.97040e-01,0.03
-1.97036e-01,0.09
-1.97032e-01,0.09
-1.97028e-01,0.07
-1.97024e-01,0.05
-1.97020e-01,0.05
-1.97016e-01,0.03
-1.97012e-01,0.03
-1.97008e-01,0.05
-1.97004e-01,0.07
-1.97000e-01,0.05
-1.96996e-01,0.07
-1.96992e-01,0.07
-1.96988e-01,0.07
-1.96984e-01,0.03
-1.96980e-01,0.09
-1.96976e-01,0.07
-1.96972e-01,0.03
-1.96968e-01,0.09
-1.96964e-01,0.03
-1.96960e-01,0.01
-1.96956e-01,0.03
-1.96952e-01,0.07
-1.96948e-01,0.01
-1.96944e-01,0.09
-1.96940e-01,0.09
-1.96936e-01,0.05
-1.96932e-01,0.03
-1.96928e-01,0.09
-1.96924e-01,0.07
-1.96920e-01,0.09
-1.96916e-01,0.05
-1.96912e-01,0.07
-1.96908e-01,0.07
-1.96904e-01,0.11
-1.96900e-01,0.01
-1.96896e-01,0.07
-1.96892e-01,0.05
-1.96888e-01,0.07
-1.96884e-01,0.09
-1.96880e-01,0.03
-1.96876e-01,0.03
-1.96872e-01,0.05
-1.96868e-01,0.05
-1.96864e-01,0.07
-1.96860e-01,0.05
-1.96856e-01,-0.01
-1.96852e-01,0.03
-1.96848e-01,0.03
-1.96844e-01,0.03
-1.96840e-01,0.07
-1.96836e-01,0.05
-1.96832e-01,0.03
-1.96828e-01,0.07
-1.96824e-01,0.03
-1.96820e-01,0.05
-1.96816e-01,0.05
-1.96812e-01,0.05
-1.96808e-01,0.03
-1.96804e-01,0.07
-1.96800e-01,0.07
-1.96796e-01,0.05
-1.96792e-01,0.03
-1.96788e-01,0.09
-1.96784e-01,0.09
-1.96780e-01,0.07
-1.96776e-01,0.09
-1.96772e-01,0.03
-1.96768e-01,0.05
-1.96764e-01,0.05
-1.96760e-01,0.03
-1.96756e-01,0.09
-1.96752e-01,0.07
-1.96748e-01,0.05
-1.96744e-01,0.03
-1.96740e-01,0.09
-1.96736e-01,0.09
-1.96732e-01,0.09
-1.96728e-01,0.05
-1.96724e-01,0.07
-1.96720e-01,0.07
-1.96716e-01,0.05
-1.96712e-01,0.03
-1.96708e-01,0.03
-1.96704e-01,0.07
-1.96700e-01,0.07
-1.96696e-01,0.05
-1.96692e-01,0.09
-1.96688e-01,0.07
-1.96684e-01,0.09
-1.96680e-01,0.09
-1.96676e-01,0.03
-1.96672e-01,0.09
-1.96668e-01,0.05
-1.96664e-01,0.03
-1.96660e-01,0.07
-1.96656e-01,0.07
-1.96652e-01,0.05
-1.96648e-01,0.09
-1.96644e-01,0.05
-1.96640e-01,0.07
-1.96636e-01,0.01
-1.96632e-01,0.03
-1.96628e-01,0.03
-1.96624e-01,0.05
-1.96620e-01,0.05
-1.96616e-01,0.03
-1.96612e-01,0.07
-1.96608e-01,0.03
-1.96604e-01,0.05
-1.96600e-01,0.07
-1.96596e-01,0.03
-1.96592e-01,0.03
-1.96588e-01,0.05
-1.96584e-01,0.05
-1.96580e-01,0.05
-1.96576e-01,0.05
-1.96572e-01,0.09
-1.96568e-01,0.09
-1.96564e-01,0.07
-1.96560e-01,0.07
-1.96556e-01,0.09
-1.96552e-01,0.03
-1.96548e-01,0.05
-1.96544e-01,0.03
-1.96540e-01,0.07
-1.96536e-01,0.03
-1.96532e-01,0.11
-1.96528e-01,0.07
-1.96524e-01,0.09
-1.96520e-01,0.05
-1.96516e-01,0.05
-1.96512e-01,0.07
-1.96508e-01,0.07
-1.96504e-01,0.09
-1.96500e-01,0.07
-1.96496e-01,0.03
-1.96492e-01,-0.01
-1.96488e-01,0.05
-1.96484e-01,0.03
-1.96480e-01,0.09
-1.96476e-01,0.09
-1.96472e-01,0.07
-1.96468e-01,0.03
-1.96464e-01,0.07
-1.96460e-01,0.05
-1.96456e-01,0.03
-1.96452e-01,0.07
-1.96448e-01,0.05
-1.96444e-01,0.07
-1.96440e-01,0.03
-1.96436e-01,0.03
-1.96432e-01,0.07
-1.96428e-01,0.07
-1.96424e-01,0.09
-1.96420e-01,0.07
-1.96416e-01,0.05
-1.96412e-01,0.05
-1.96408e-01,0.05
-1.96404e-01,0.07
-1.96400e-01,0.09
-1.96396e-01,0.05
-1.96392e-01,0.05
-1.96388e-01,0.07
-1.96384e-01,0.05
-1.96380e-01,0.05
-1.96376e-01,0.03
-1.96372e-01,0.07
-1.96368e-01,0.05
-1.96364e-01,0.05
-1.96360e-01,0.03
-1.96356e-01,0.07
-1.96352e-01,0.07
-1.96348e-01,0.09
-1.96344e-01,0.03
-1.96340e-01,0.05
-1.96336e-01,0.09
-1.96332e-01,0.07
-1.96328e-01,0.05
-1.96324e-01,0.05
-1.96320e-01,0.05
-1.96316e-01,0.05
-1.96312e-01,0.05
-1.96308e-01,0.07
-1.96304e-01,0.07
-1.96300e-01,0.03
-1.96296e-01,0.07
-1.96292e-01,0.05
-1.96288e-01,0.03
-1.96284e-01,0.07
-1.96280e-01,0.07
-1.96276e-01,0.07
-1.96272e-01,0.07
-1.96268e-01,0.03
-1.96264e-01,0.07
-1.96260e-01,0.07
-1.96256e-01,0.05
-1.96252e-01,0.05
-1.96248e-01,0.09
-1.96244e-01,0.07
-1.96240e-01,0.07
-1.96236e-01,0.09
-1.96232e-01,0.05
-1.96228e-01,0.03
-1.96224e-01,0.11
-1.96220e-01,0.05
-1.96216e-01,0.05
-1.96212e-01,0.11
-1.96208e-01,0.05
-1.96204e-01,0.07
-1.96200e-01,0.09
-1.96196e-01,0.05
-1.96192e-01,0.09
-1.96188e-01,0.03
-1.96184e-01,0.07
-1.96180e-01,0.07
-1.96176e-01,0.07
-1.96172e-01,0.03
-1.96168e-01,0.05
-1.96164e-01,0.03
-1.96160e-01,0.05
-1.96156e-01,0.03
-1.96152e-01,0.05
-1.96148e-01,0.05
-1.96144e-01,0.07
-1.96140e-01,0.03
-1.96136e-01,0.03
-1.96132e-01,0.09
-1.96128e-01,0.05
-1.96124e-01,0.09
-1.96120e-01,0.05
-1.96116e-01,0.07
-1.96112e-01,0.03
-1.96108e-01,0.07
-1.96104e-01,0.03
-1.96100e-01,0.03
-1.96096e-01,0.07
-1.96092e-01,0.07
-1.96088e-01,0.05
-1.96084e-01,0.05
-1.96080e-01,0.05
-1.96076e-01,0.03
-1.96072e-01,0.03
-1.96068e-01,0.03
-1.96064e-01,0.07
-1.96060e-01,0.05
-1.96056e-01,0.05
-1.96052e-01,0.03
-1.96048e-01,0.07
-1.96044e-01,0.07
-1.96040e-01,0.13
-1.96036e-01,0.07
-1.96032e-01,0.05
-1.96028e-01,0.05
-1.96024e-01,0.05
-1.96020e-01,0.09
-1.96016e-01,0.05
-1.96012e-01,0.05
-1.96008e-01,0.09
-1.96004e-01,0.09
-1.96000e-01,0.07
-1.95996e-01,0.07
-1.95992e-01,0.05
-1.95988e-01,0.05
-1.95984e-01,0.09
-1.95980e-01,0.07
-1.95976e-01,0.05
-1.95972e-01,0.01
-1.95968e-01,0.07
-1.95964e-01,0.09
-1.95960e-01,0.05
-1.95956e-01,0.05
-1.95952e-01,0.05
-1.95948e-01,0.03
-1.95944e-01,0.03
-1.95940e-01,0.01
-1.95936e-01,0.07
-1.95932e-01,0.05
-1.95928e-01,0.05
-1.95924e-01,0.09
-1.95920e-01,0.07
-1.95916e-01,0.07
-1.95912e-01,0.03
-1.95908e-01,0.07
-1.95904e-01,0.03
-1.95900e-01,0.09
-1.95896e-01,0.09
-1.95892e-01,0.05
-1.95888e-01,0.07
-1.95884e-01,0.05
-1.95880e-01,0.03
-1.95876e-01,0.05
-1.95872e-01,0.09
-1.95868e-01,0.09
-1.95864e-01,0.07
-1.95860e-01,0.03
-1.95856e-01,0.05
-1.95852e-01,0.03
-1.95848e-01,0.03
-1.95844e-01,0.07
-1.95840e-01,0.05
-1.95836e-01,0.05
-1.95832e-01,0.07
-1.95828e-01,0.05
-1.95824e-01,0.05
-1.95820e-01,0.03
-1.95816e-01,0.03
